broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis
Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,1,Important,
Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,
Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should prioritize work to make our cities and countryside more beautiful.",reword,"Over the coming years, the government should prioritize work to make the nation's cities and countryside more beautiful.",4,Trying to make our cities and countryside more beautiful,"Over the coming years, the government should prioritize work to make the nation's cities and countryside more beautiful."
Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should prioritize ensuring this country has strong defense forces.",reword,"Over the coming years, the government should prioritize ensuring the country has strong defense forces.",2,Strong defence forces,"Over the coming years, the government should prioritize ensuring the country has strong defense forces."
Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should emphasize a high level of economic growth.",keep,"over the coming years, the government should emphasize a high level of economic growth.",1,A high level of economic growth,"over the coming years, the government should emphasize a high level of economic growth."
Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities.",keep,"over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities.",3,People have more say about how things are done,"over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities."
Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Maintaining order in the nation is of utmost importance.,keep,maintaining order in the nation is of utmost importance.,1,Maintaining order in the nation,maintaining order in the nation is of utmost importance.
Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Fighting rising prices is of utmost importance.,keep,fighting rising prices is of utmost importance.,3,Fighting rising prices,fighting rising prices is of utmost importance.
Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Protecting freedom of speech is of utmost importance.,keep,protecting freedom of speech is of utmost importance.,4,Protecting freedom of speech,protecting freedom of speech is of utmost importance.
Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Giving people more say in important government decisions is of utmost importance.,keep,giving people more say in important government decisions is of utmost importance.,2,Giving people more say in important government decisions,giving people more say in important government decisions is of utmost importance.
Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,1,Important,
Q17,"Important child qualities: Obedience Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Obedience",It is important for children to be obedient.,keep,it is important for children to be obedient.,2,Not mentioned,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,1,More than once a week,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,2,Once a week,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,3,Once a month,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,4,Only on special holy days,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,5,Once a year,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,6,Less often,
Q171,"How often do you attend religious services Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",I attend religious services all the time.,reword,frequently attending religious services is routine.,7,"Never, practically never",
Q173,"Religious person Independently of whether you go to church or not, would you say you are…",I am a religious person.,reword,religiosity is an inseparable part of one's identity.,1,A religious person,
Q173,"Religious person Independently of whether you go to church or not, would you say you are…",I am a religious person.,reword,religiosity is an inseparable part of one's identity.,2,Not a religious person,
Q173,"Religious person Independently of whether you go to church or not, would you say you are…",I am a religious person.,reword,religiosity is an inseparable part of one's identity.,3,An atheist,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,1,Never justifiable,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,2,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,3,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,4,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,5,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,6,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,7,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,8,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,9,,
Q178,"Justifiable: Avoiding a fare on public transport Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. - Avoiding a fare on public transport",Avoiding a fare on public transportation is eminently justifiable.,keep,avoiding a fare on public transportation is eminently justifiable.,10,Always justifiable,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,1,Never justifiable,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,2,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,3,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,4,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,5,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,6,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,7,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,8,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,9,,
Q180,"Justifiable: Cheating on taxes Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Cheating on taxes if you have a chance",Cheating on one's taxes is justifiable.,keep,cheating on one's taxes is justifiable.,10,Always justifiable,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,1,Never justifiable,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,2,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,3,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,4,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,5,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,6,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,7,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,8,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,9,,
Q181,"Justifiable: Someone accepting a bribe in the course of their duties Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Someone accepting a bribe in the course of their duties",Accepting a bribe in the course of one's duties is perfectly justifiable.,keep,accepting a bribe in the course of one's duties is perfectly justifiable.,10,Always justifiable,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,1,Never justifiable,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,2,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,3,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,4,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,5,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,6,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,7,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,8,,
