broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,9,,
Q182,"Justifiable: Homosexuality Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Homosexuality",Homosexuality is completely justifiable.,keep,homosexuality is completely justifiable.,10,Always justifiable,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,1,Never justifiable,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,2,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,3,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,4,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,6,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,7,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,8,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,9,,
Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,10,Always justifiable,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,1,Never justifiable,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,2,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,3,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,4,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,5,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,6,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,7,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,8,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,9,,
Q185,"Justifiable: Divorce Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce",Divorce is justifiable.,keep,divorce is justifiable.,10,Always justifiable,
Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,1,Very proud,
Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,
Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,3,Not very proud,
Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,
Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,1,Agree strongly,
Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,2,Agree,
Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,3,Disagree,
Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud.,reword,making one’s parent’s proud is of central importance in life.,4,Strongly disagree,
Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,1,Agree strongly,
Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,2,Agree,
Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,3,Disagree,
Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - On the whole, men make better political leaders than women do",Men make better political leaders than women do.,keep,men make better political leaders than women do.,4,Strongly disagree,
Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,1,Agree strongly,
Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,2,Agree,
Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,3,Disagree,
Q30,"University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? - A university education is more important for a boy than for a girl",University is more important for a boy than it is for a girl.,keep,university is more important for a boy than it is for a girl.,4,Strongly disagree,
Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",1,Agree,
Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",2,Disagree,
Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,
Q45,"Future changes: Greater respect for authority I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? – Greater respect for authority","In the future, people should show greater respect for authority.",keep,"in the future, people should show greater respect for authority.",1,Good thing,
Q45,"Future changes: Greater respect for authority I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? – Greater respect for authority","In the future, people should show greater respect for authority.",keep,"in the future, people should show greater respect for authority.",2,Don't mind,
Q45,"Future changes: Greater respect for authority I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? – Greater respect for authority","In the future, people should show greater respect for authority.",keep,"in the future, people should show greater respect for authority.",3,Bad thing,
Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,
Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,2,Rather important,
Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,3,Not very important,
Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,4,Not at all important,
Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,1,A great deal,
Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,2,Quite a lot,
Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,3,Not very much,
Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,4,None at all,
Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,1,A great deal,
Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,2,Quite a lot,
Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,3,Not very much,
Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,
Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,1,A great deal,
Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,2,Quite a lot,
Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,3,Not very much,
Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,4,None at all,
Q8,"Important child qualities: Independence  Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Independence",It is important for children to be independent.,keep,it is important for children to be independent.,1,Important,
Q8,"Important child qualities: Independence  Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Independence",It is important for children to be independent.,keep,it is important for children to be independent.,2,Not mentioned,
Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,1,A high level of economic growth,
Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,2,Making sure this country has strong defence forces,
Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,3,Seeing that people have more say about how are done at their jobs and in their communities,
Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,4,Trying to make our cities and countryside more beautiful,
Q155,Aims of respondent: second choice And which would be the next most important?,,,,1,Maintaining order in the nation,
Q155,Aims of respondent: second choice And which would be the next most important?,,,,2,Giving people more say in important government decisions,
Q155,Aims of respondent: second choice And which would be the next most important?,,,,3,Fighting rising prices,
Q155,Aims of respondent: second choice And which would be the next most important?,,,,4,Protecting freedom of speech,
